team,total
Afghanistan,2
Algeria,17
Argentina,74
Armenia,16
Australasia,12
Australia,509
Austria,305
Azerbaijan,44
Bahamas,14
Bahrain,3
Barbados,1
Belarus,100
Belgium,153
Bermuda,1
Bohemia,4
Botswana,1
Brazil,128
British West Indies,2
Bulgaria,223
Burundi,2
Cameroon,5
Canada,472
Chile,13
China,596
Colombia,27
Costa Rica,4
Ivory Coast,3
Croatia,44
Cuba,219
Cyprus,1
Czech Republic,78
Czechoslovakia,168
Denmark,195
Djibouti,1
Dominican Republic,7
Ecuador,2
Egypt,29
Eritrea,1
Estonia,41
Ethiopia,53
Fiji,1
Finland,464
France,822
Gabon,1
Georgia,32
Germany,824
United Team of Germany,137
East Germany,519
West Germany,243
Ghana,4
Great Britain,873
Greece,117
Grenada,2
Guatemala,1
Guyana,1
Haiti,2
Hong Kong,3
Hungary,497
Iceland,4
India,28
Indonesia,30
Iran,69
Iraq,1
Ireland,32
Israel,9
Italy,691
Jamaica,78
Japan,484
Jordan,1
Kazakhstan,75
Kenya,100
Kosovo,1
North Korea,56
South Korea,317
Kuwait,2
Kyrgyzstan,3
Latvia,26
Lebanon,4
Liechtenstein,9
Lithuania,25
Luxembourg,4
Macedonia,1
Malaysia,11
Mauritius,1
Mexico,67
Moldova,8
Mongolia,26
Montenegro,1
Morocco,23
Mozambique,2
Namibia,4
Netherlands,395
Netherlands Antilles,1
New Zealand,118
Niger,2
Nigeria,24
Norway,481
Pakistan,10
Panama,3
Paraguay,1
Peru,4
Philippines,10
Poland,302
Portugal,24
Puerto Rico,9
Qatar,5
Romania,307
Russia,565
Russian Empire,8
Soviet Union,1204
Unified Team,135
Saudi Arabia,3
Senegal,1
Serbia,15
Serbia and Montenegro,9
Singapore,5
Slovakia,33
Slovenia,38
South Africa,86
Spain,150
Sri Lanka,2
Sudan,1
Suriname,2
Sweden,638
Switzerland,330
Syria,3
Chinese Taipei,22
Tajikistan,4
Tanzania,2
Thailand,31
Togo,1
Tonga,1
Trinidad and Tobago,19
Tunisia,13
Turkey,94
Uganda,7
Ukraine,131
United Arab Emirates,2
United States,2802
Uruguay,10
Uzbekistan,34
Venezuela,15
Vietnam,4
Virgin Islands,1
Yugoslavia,87
Zambia,2
Zimbabwe,8
Individual Olympic Athletes,2
Independent Olympic Participants,3
Mixed team,17