year,murder,robbery,property crime,burglary,larceny-theft,motor vehicle theft
1994,23326,618949,12131873,2712774,7879812,1539287
1995,21606,580509,12063935,2593784,7997710,1472441
1996,19645,535594,11805323,2506400,7904685,1394238
1997,18208,498534,11558475,2460526,7743760,1354189
1998,16974,447186,10951827,2332735,7376311,1242781
1999,15522,409371,10208334,2100739,6955520,1152075
2000,15586,408016,10182584,2050992,6971590,1160002
2001,16037,423557,10437189,2116531,7092267,1228391
2002,16229,420806,10455277,2151252,7057379,1246646
2003,16528,414235,10442862,2154834,7026802,1261226
2004,16148,401470,10319386,2144446,6937089,1237851
2005,16740,417438,10174754,2155448,6783447,1235859
2006,17309,449246,10019601,2194993,6626363,1198245
2007,17128,447324,9882212,2190198,6591542,1100472
2008,16465,443563,9774152,2228887,6586206,959059
2009,15399,408742,9337060,2203313,6338095,795652
2010,14722,369089,9112625,2168459,6204601,739565
2011,14661,354746,9052743,2185140,6151095,716508
2012,14856,355051,9001992,2109932,6168874,723186
2013,14196,345031,8632512,1928465,6004453,699594