country,population
People's Republic of China,1307593000
India,1103371000
United States of America,298213000
Indonesia,222781000
Brazil,186405000
Pakistan,157935000
Russia,143202000
Bangladesh,141822000
Nigeria,131530000
Japan,128085000
Mexico,107029000
Vietnam,84238000
Philippines,83054000
Germany,82689000
Ethiopia,77431000
Egypt,74033000
Turkey,73193000
Iran,69515000
France,65446000
Thailand,64233000
United Kingdom,59668000
Italy,58093000
Democratic Republic of the Congo,57549000
Myanmar,50519000
South Korea,50000000
South Africa,48432000
Ukraine,46481000
Colombia,45600000
Spain,43064000
Argentina,38747000
Poland,38530000
Tanzania,38329000
Sudan,36233000
Kenya,34256000
Algeria,32854000
Canada,32268000
Morocco,31478000
Afghanistan,29863000
Uganda,28816000
Iraq,28807000
Peru,27968000
Nepal,27133000
Venezuela,26749000
Uzbekistan,26593000
Malaysia,25347000
Saudi Arabia,24573000
Taiwan,22894384
North Korea,22488000
Ghana,22113000
Romania,21711000
Yemen,20975000
Sri Lanka,20743000
Australia,20155000
Mozambique,19792000
Syria,19043000
Madagascar,18606000
Côte d'Ivoire,18154000
Cameroon,16322000
Netherlands,16299000
Chile,16295000
Angola,15941000
Kazakhstan,14825000
Cambodia,14071000
Niger,13957000
Mali,13518000
Burkina Faso,13228000
Ecuador,13228000
Zimbabwe,13010000
Malawi,12884000
Guatemala,12599000
Zambia,11668000
Senegal,11658000
Cuba,11269000
Greece,11120000
Portugal,10495000
Belgium,10419000
Czech Republic,10220000
Tunisia,10102000
Hungary,10098000
Serbia,9778991
Belarus,9755000
Chad,9749000
Guinea,9402000
Bolivia,9182000
Sweden,9041000
Rwanda,9038000
Dominican Republic,8895000
Haiti,8528000
Benin,8439000
Azerbaijan,8411000
Somalia,8228000
Austria,8189000
Bulgaria,7726000
Burundi,7548000
Switzerland,7252000
Honduras,7205000
Hong Kong,7041000
El Salvador,6881000
Israel,6725000
Tajikistan,6507000
Paraguay,6158000
Togo,6145000
Laos,5924000
Papua New Guinea,5887000
Libya,5853000
Jordan,5703000
Tibet,5700000
Sierra Leone,5525000
Nicaragua,5487000
Denmark,5431000
Slovakia,5401000
Kyrgyzstan,5264000
Finland,5249000
Turkmenistan,4833000
Norway,4620000
Croatia,4551000
United Arab Emirates,4496000
Georgia,4474000
Eritrea,4401000
Costa Rica,4327000
Singapore,4326000
Moldova,4206000
Ireland,4148000
Central African Republic,4038000
New Zealand,4028000
Republic of the Congo,3999000
Puerto Rico,3955000
Bosnia and Herzegovina,3907000
Palestinian territories,3702000
Lebanon,3577000
Uruguay,3463000
Lithuania,3431000
Liberia,3283000
Panama,3232000
Albania,3130000
Mauritania,3069000
Armenia,3016000
Kuwait,2687000
Jamaica,2651000
Mongolia,2646000
Oman,2567000
Latvia,2307000
Bhutan,2163000
Macedonia,2034000
Namibia,2031000
Slovenia,1967000
Lesotho,1795000
Botswana,1765000
Guinea-Bissau,1586000
The Gambia,1517000
Gabon,1384000
Estonia,1330000
Trinidad and Tobago,1305000
Mauritius,1245000
Swaziland,1032000
East Timor,947000
Fiji,848000
Cyprus,835000
Qatar,813000
Comoros,798000
Djibouti,793000
Réunion,785000
Guyana,751000
Bahrain,727000
Montenegro,620145
Cape Verde,507000
Equatorial Guinea,504000
Solomon Islands,478000
Luxembourg,465000
Macau,460000
Suriname,449000
Guadeloupe,448000
Malta,402000
Martinique,396000
Brunei,374000
Western Sahara,341000
Maldives,329000
The Bahamas,323000
Iceland,295000
Belize,270000
Barbados,270000
French Polynesia,257000
New Caledonia,237000
Vanuatu,211000
French Guiana,187000
Samoa,185000
Netherlands Antilles,183000
Guam,170000
Saint Lucia,161000
São Tomé and Príncipe,157000
Channel Islands,149000
Saint Vincent and the Grenadines,119000
U.S. Virgin Islands,112000
Federated States of Micronesia,110000
Grenada,103000
Tonga,102000
Aruba,99000
Kiribati,99000
Antigua and Barbuda,81000
Northern Mariana Islands,81000
Seychelles,81000
Dominica,79000
Isle of Man,77000
Andorra,67000
American Samoa,65000
Bermuda,64000
Marshall Islands,62000
Greenland,57000
Faroe Islands,47000
Cayman Islands,45000
Saint Kitts and Nevis,43000
Monaco,35000
Liechtenstein,35000
San Marino,28000
Gibraltar,28000
Turks and Caicos Islands,26000
British Virgin Islands,22000
Palau,20000
Cook Islands,18000
Wallis and Futuna,15000
Nauru,14000
Anguilla,12000
Tuvalu,10000
Saint-Pierre and Miquelon,6000
Saint Helena,5000
Montserrat,4000
Falkland Islands,3000
Niue,1000
Tokelau,1000
Vatican City,783
Pitcairn Islands,67