洲別,國家,105/04,105/03,105/02,105/01,104/12,104/11,104/10,104/09,104/08,104/07,104/06,104/05,104/04,104/03,104/02,104/01,103/12,103/11,103/10,103/09,103/08,103/07,103/06,103/05
亞洲,港澳,110716.0,164894.0,114431.0,93448.0,164275.0,118026.0,113549.0,118255.0,160829.0,142515.0,139920.0,124758.0,145479.0,114473.0,97216.0,74302.0,135024.0,99443.0,95217.0,105865.0,147903.0,132831.0,133550.0,116585.0
亞洲,大陸,375567.0,363878.0,405307.0,366409.0,327129.0,357655.0,386663.0,345243.0,367736.0,352625.0,308087.0,372766.0,358798.0,279703.0,406239.0,321458.0,346941.0,332517.0,347778.0,341729.0,312549.0,343709.0,315166.0,333845.0
亞洲,日本,129469.0,198744.0,132982.0,143078.0,169366.0,159431.0,149500.0,145835.0,143540.0,113133.0,118156.0,124464.0,111026.0,167074.0,104194.0,121510.0,151119.0,152171.0,141713.0,140574.0,148531.0,117564.0,119697.0,133438.0
亞洲,韓國,62668.0,56442.0,76407.0,85640.0,69555.0,59168.0,59864.0,46770.0,54320.0,45349.0,36696.0,54583.0,49826.0,49733.0,57692.0,75201.0,50255.0,48248.0,47984.0,37632.0,43865.0,36886.0,33830.0,38616.0
亞洲,印度,2794.0,3069.0,2543.0,2348.0,2352.0,2850.0,2556.0,3024.0,3022.0,2247.0,3352.0,2997.0,2788.0,3241.0,1903.0,1866.0,1974.0,2680.0,2199.0,3451.0,3277.0,2119.0,3415.0,2517.0
亞洲,中東,1940.0,1948.0,1233.0,1536.0,1404.0,1771.0,1623.0,1428.0,1467.0,1231.0,1657.0,1563.0,2042.0,2217.0,1081.0,1269.0,1301.0,1589.0,1634.0,1486.0,1532.0,1017.0,1931.0,1443.0
亞洲,馬來西亞,40557.0,47488.0,39395.0,22928.0,61103.0,50866.0,38029.0,36526.0,22249.0,23813.0,29873.0,30873.0,36651.0,51464.0,27877.0,22157.0,58883.0,46516.0,38458.0,36969.0,20194.0,26043.0,31066.0,36537.0
亞洲,新加坡,31510.0,38377.0,21304.0,24334.0,66871.0,49765.0,32529.0,26763.0,22286.0,21679.0,33712.0,30986.0,32384.0,35562.0,16558.0,23942.0,60552.0,45854.0,34510.0,23919.0,18154.0,20868.0,34808.0,30941.0
亞洲,印尼,13808.0,14226.0,13766.0,14193.0,17750.0,13431.0,14966.0,13263.0,13734.0,20922.0,15516.0,12161.0,13456.0,17409.0,12659.0,12476.0,19475.0,13015.0,14201.0,14952.0,14602.0,19901.0,17666.0,14579.0
亞洲,菲律賓,14676.0,13910.0,10527.0,12340.0,14710.0,11209.0,10626.0,9709.0,10814.0,10807.0,11779.0,13100.0,14054.0,13939.0,7945.0,10525.0,12811.0,10368.0,11519.0,11061.0,11340.0,10420.0,12403.0,13873.0
亞洲,泰國,18327.0,15922.0,11137.0,9049.0,16560.0,10476.0,13441.0,8466.0,8117.0,8645.0,8912.0,9874.0,13699.0,13114.0,5878.0,7227.0,11999.0,8597.0,9471.0,7944.0,7599.0,7144.0,8556.0,8766.0
亞洲,越南,15197.0,14437.0,15370.0,9437.0,12164.0,10882.0,10902.0,12414.0,12886.0,12936.0,12840.0,12095.0,13365.0,18379.0,8957.0,8560.0,10607.0,9957.0,10614.0,12017.0,12136.0,11765.0,13085.0,11108.0
亞洲,亞洲其它,691.0,1061.0,803.0,735.0,681.0,826.0,868.0,1238.0,835.0,581.0,621.0,710.0,669.0,1117.0,710.0,582.0,717.0,737.0,768.0,1084.0,891.0,532.0,778.0,584.0
美洲,加拿大,9283.0,10254.0,7552.0,7656.0,9798.0,9773.0,8261.0,5438.0,6694.0,6913.0,5914.0,7111.0,8533.0,9253.0,6843.0,6135.0,8587.0,9310.0,8860.0,6153.0,6608.0,7025.0,5791.0,7343.0
美洲,美國,42681.0,45683.0,34505.0,37894.0,49805.0,44932.0,42917.0,32151.0,35242.0,39315.0,43408.0,39335.0,43042.0,43347.0,33556.0,32402.0,45330.0,41224.0,41401.0,32079.0,33856.0,38345.0,43737.0,38328.0
美洲,墨西哥,309.0,313.0,190.0,229.0,204.0,248.0,257.0,189.0,287.0,299.0,248.0,242.0,365.0,360.0,208.0,156.0,164.0,272.0,301.0,400.0,259.0,225.0,281.0,196.0
美洲,巴西,379.0,385.0,245.0,394.0,370.0,296.0,335.0,220.0,328.0,251.0,408.0,264.0,532.0,462.0,284.0,370.0,401.0,293.0,541.0,313.0,350.0,233.0,321.0,329.0
美洲,阿根廷,90.0,120.0,105.0,174.0,181.0,90.0,94.0,82.0,57.0,76.0,85.0,94.0,120.0,123.0,72.0,115.0,117.0,66.0,192.0,117.0,53.0,60.0,93.0,68.0
美洲,美洲其他,866.0,728.0,1064.0,701.0,605.0,999.0,887.0,1119.0,836.0,727.0,751.0,786.0,768.0,820.0,810.0,594.0,456.0,704.0,916.0,1177.0,894.0,638.0,680.0,598.0
歐洲,比利時,469.0,682.0,423.0,454.0,470.0,632.0,595.0,449.0,436.0,585.0,411.0,379.0,713.0,629.0,380.0,422.0,405.0,600.0,480.0,412.0,368.0,539.0,450.0,370.0
歐洲,法國,3954.0,3513.0,3555.0,3012.0,3103.0,3541.0,3887.0,2635.0,3220.0,3489.0,2865.0,2716.0,3936.0,3400.0,3064.0,2508.0,2864.0,3316.0,3438.0,2749.0,2977.0,3288.0,3039.0,2702.0
歐洲,德國,4938.0,7466.0,4301.0,4586.0,4603.0,5526.0,5942.0,4383.0,4222.0,3660.0,3516.0,3909.0,4558.0,6942.0,3750.0,3943.0,4147.0,5506.0,5454.0,4302.0,4180.0,3534.0,3377.0,3783.0
歐洲,義大利,1474.0,1671.0,1188.0,1277.0,1198.0,1651.0,1632.0,1096.0,1152.0,1195.0,1239.0,1315.0,1400.0,1748.0,888.0,1101.0,1093.0,1730.0,1343.0,1264.0,1039.0,1153.0,1233.0,1312.0
歐洲,荷蘭,1963.0,1946.0,1515.0,1713.0,1660.0,2239.0,2026.0,1431.0,1477.0,1594.0,1441.0,1238.0,1584.0,1904.0,1225.0,1448.0,1535.0,1826.0,1820.0,1347.0,1323.0,1527.0,1355.0,1318.0
歐洲,瑞士,986.0,993.0,711.0,699.0,835.0,917.0,1109.0,690.0,643.0,801.0,615.0,673.0,986.0,988.0,607.0,589.0,607.0,943.0,1042.0,702.0,614.0,715.0,626.0,632.0
歐洲,西班牙,875.0,980.0,726.0,675.0,714.0,948.0,859.0,696.0,909.0,778.0,706.0,614.0,759.0,950.0,551.0,581.0,661.0,825.0,798.0,652.0,755.0,693.0,759.0,594.0
歐洲,英國,5952.0,6200.0,4473.0,4372.0,4720.0,5538.0,5094.0,4118.0,4793.0,4629.0,4108.0,4216.0,7665.0,6117.0,3975.0,3811.0,4084.0,5267.0,6574.0,4572.0,4454.0,4512.0,4208.0,4484.0
歐洲,奧地利,560.0,728.0,564.0,565.0,496.0,662.0,666.0,462.0,575.0,590.0,355.0,459.0,586.0,566.0,398.0,428.0,474.0,664.0,601.0,420.0,423.0,481.0,389.0,528.0
歐洲,希臘,157.0,131.0,118.0,140.0,108.0,122.0,158.0,90.0,124.0,146.0,127.0,94.0,143.0,141.0,87.0,125.0,79.0,131.0,127.0,144.0,106.0,108.0,140.0,112.0
歐洲,瑞典,879.0,857.0,613.0,667.0,715.0,784.0,896.0,627.0,480.0,562.0,726.0,577.0,781.0,805.0,532.0,621.0,698.0,799.0,774.0,647.0,525.0,568.0,739.0,675.0
歐洲,俄羅斯,625.0,534.0,497.0,511.0,517.0,709.0,625.0,627.0,586.0,596.0,850.0,724.0,671.0,909.0,531.0,463.0,554.0,954.0,920.0,683.0,655.0,598.0,875.0,616.0
歐洲,歐洲其他,3709.0,3697.0,3399.0,3269.0,3423.0,3520.0,3944.0,3088.0,3000.0,3034.0,3048.0,2971.0,3670.0,3871.0,2681.0,2560.0,3046.0,3600.0,3865.0,2983.0,3373.0,3128.0,3171.0,2769.0
大洋洲,澳大利亞,7480.0,7752.0,5158.0,8101.0,10459.0,6754.0,6543.0,5594.0,4296.0,4600.0,5051.0,4809.0,9069.0,6941.0,4809.0,7197.0,10260.0,6278.0,7537.0,6432.0,4226.0,4786.0,5241.0,5274.0
大洋洲,紐西蘭,1183.0,1034.0,928.0,1331.0,1805.0,1079.0,1078.0,847.0,856.0,881.0,906.0,887.0,1226.0,1047.0,985.0,1208.0,1697.0,1054.0,1106.0,995.0,755.0,1055.0,853.0,1004.0
大洋洲,大洋洲其他,145.0,179.0,188.0,157.0,162.0,146.0,249.0,212.0,176.0,135.0,154.0,116.0,159.0,184.0,89.0,104.0,134.0,124.0,178.0,122.0,219.0,112.0,90.0,105.0
非洲,南非,409.0,311.0,562.0,405.0,566.0,339.0,358.0,243.0,590.0,395.0,315.0,297.0,465.0,519.0,523.0,283.0,471.0,294.0,346.0,330.0,558.0,355.0,309.0,259.0
非洲,非洲其他,474.0,512.0,390.0,342.0,323.0,446.0,475.0,657.0,434.0,375.0,451.0,492.0,539.0,500.0,327.0,248.0,338.0,394.0,427.0,771.0,537.0,314.0,533.0,405.0
非洲,未列明,1005.0,2315.0,789.0,203.0,810.0,169.0,1337.0,141.0,109.0,179.0,352.0,119.0,192.0,305.0,211.0,3102.0,1395.0,216.0,197.0,113.0,187.0,3077.0,830.0,261.0
